,Endo_id,cell_id,cell_name,receptor_id,receptor
1409,ENH00453,ENC00249,hepatocyte,empty0,empty0
1410,ENH00453,ENC00250,chondrocyte,empty0,empty0
1411,ENH00453,ENC00093,osteoblast,empty0,empty0
1412,ENH00453,ENC00096,osteoclast,empty0,empty0
1413,ENH00453,ENC00150,vascularendothelial_cell,empty0,empty0
1414,ENH00453,ENC00287,T-lymphocyte,empty0,empty0
1415,ENH00453,ENC00216,macrophage,empty0,empty0
1416,ENH00453,ENC00244,epithelial_cell,empty0,empty0
1417,ENH00453,ENC00005,adipose_tissue,empty0,empty0
1418,ENH00454,ENC00263,aorta,empty0,empty0
1419,ENH00454,ENC00014,blood,empty0,empty0
1420,ENH00454,ENC00207,blood_vessel,empty0,empty0
1421,ENH00454,ENC00018,bone_marrow,empty0,empty0
1422,ENH00454,ENC00231,continuous_vascular_endothelial_cell_of_blood_vessels_and_lymphatics,empty0,empty0
1423,ENH00454,ENC00424,lipocyte_of_liver,empty0,empty0
1424,ENH00454,ENC00287,T-lymphocyte,empty0,empty0
1425,ENH00455,ENC00250,chondrocyte,empty0,empty0
1426,ENH00456,ENC00014,blood,empty0,empty0
1427,ENH00456,ENC00140,testis,empty0,empty0
1428,ENH00456,ENC00249,hepatocyte,empty0,empty0
1429,ENH00456,ENC00130,spleen,empty0,empty0
1430,ENH00457,ENC00250,chondrocyte,empty0,empty0
1431,ENH00457,ENC00125,skin,empty0,empty0
1432,ENH00457,ENC00283,fibroblast,empty0,empty0
1433,ENH00458,ENC00093,osteoblast,empty0,empty0
1434,ENH00458,ENC00283,fibroblast,empty0,empty0
1435,ENH00458,ENC00074,lung,empty0,empty0
1436,ENH00459,ENC00125,skin,empty0,empty0
1437,ENH00459,ENC00250,chondrocyte,empty0,empty0
1438,ENH00459,ENC00093,osteoblast,empty0,empty0
1439,ENH00459,ENC00283,fibroblast,empty0,empty0
1440,ENH00459,ENC00222,keratinocyte,empty0,empty0
1441,ENH00459,ENC00231,continuous_vascular_endothelial_cell_of_blood_vessels_and_lymphatics,empty0,empty0
1442,ENH00459,ENC00013,platelet,empty0,empty0
1443,ENH00459,ENC00284,astrocyte,empty0,empty0
1444,ENH00459,ENC00074,lung,empty0,empty0
1445,ENH00460,ENC00096,osteoclast,empty0,empty0
1446,ENH00460,ENC00018,bone_marrow,empty0,empty0
1447,ENH00460,ENC00250,chondrocyte,empty0,empty0
1448,ENH00460,ENC00325,osteocyte,empty0,empty0
1449,ENH00460,ENC00093,osteoblast,empty0,empty0
1450,ENH00461,ENC00093,osteoblast,empty0,empty0
1451,ENH00461,ENC00020,brain,empty0,empty0
1452,ENH00461,ENC00018,bone_marrow,empty0,empty0
1453,ENH00462,ENC00326,cartilage,empty0,empty0
1454,ENH00462,ENC00216,macrophage,empty0,empty0
1455,ENH00462,ENC00283,fibroblast,empty0,empty0
1456,ENH00463,ENC00350,artery,empty0,empty0
1457,ENH00463,ENC00323,eye,empty0,empty0
1458,ENH00463,ENC00063,kidney,empty0,empty0
1459,ENH00463,ENC00048,heart,empty0,empty0
1460,ENH00464,ENC00356,enteroendocrine_cell_of_gastrointestinal_tract,empty0,empty0
1461,ENH00465,ENC00180,alpha_cell_of_islet_of_Langerhans,empty0,empty0
1462,ENH00466,ENC00356,enteroendocrine_cell_of_gastrointestinal_tract,empty0,empty0
1463,ENH00466,ENC00385,nuclei_of_solitary_tract,empty0,empty0
1464,ENH00467,ENC00356,enteroendocrine_cell_of_gastrointestinal_tract,empty0,empty0
1465,ENH00467,ENC00385,nuclei_of_solitary_tract,empty0,empty0
1466,ENH00468,ENC00112,placenta,empty0,empty0
