,Endo_id,Transported hormone,Target receptor
159,ENT00266,ENH00228,ENR00959
160,ENT00267,ENH00018,ENR00662
161,ENT00268,ENH00019,ENR00662
162,ENT00269,ENH00021,ENR00987
163,ENT00270,ENH00043,ENR00802
164,ENT00271,ENH00022,ENR00802
165,ENT00272,ENH00043,ENR00803
166,ENT00273,ENH00022,ENR00803
167,ENT00274,ENH00021,ENR00803
168,ENT00275,ENH00166,ENR00803
169,ENT00276,ENH00021,ENR00802
170,ENT00277,ENH00166,ENR00802
171,ENT00278,ENH00243,ENR00720
172,ENT00279,ENH00243,ENR00708
173,ENT00280,ENH00319,ENR01000
174,ENT00281,ENH00166,ENR00791
175,ENT00282,ENH00166,ENR00792
176,ENT00283,ENH00166,ENR00361
177,ENT00284,ENH00166,ENR00797
178,ENT00285,ENH00166,ENR00796
179,ENT00286,ENH00166,ENR00795
180,ENT00287,ENH00166,ENR00794
181,ENT00288,ENH00166,ENR00793
182,ENT00289,ENH00166,ENR00752
183,ENT00290,ENH00166,ENR00751
184,ENT00292,ENH00166,ENR00360
185,ENT00293,ENH00166,ENR00068
186,ENT00296,ENH00246,ENR00124
187,ENT00297,ENH00246,ENR00539
188,ENT00298,ENH00246,ENR00123
189,ENT00299,ENH00246,ENR00616
190,ENT00300,ENH00246,ENR00126
191,ENT00301,ENH00246,ENR00125
192,ENT00302,ENH00246,ENR00127
193,ENT00303,ENH00247,ENR00809
194,ENT00304,ENH00247,ENR00810
195,ENT00305,ENH00247,ENR00812
196,ENT00306,ENH00247,ENR00811
197,ENT00307,ENH00267,ENR00635
198,ENT00308,ENH00229,ENR00635
199,ENT00309,ENH00268,ENR00635
200,ENT00310,ENH00099,ENR00635
201,ENT00311,ENH00269,ENR00668
202,ENT00313,ENH00272,ENR00669
203,ENT00314,ENH00274,ENR00670
204,ENT00315,empty0,empty0
205,ENT00316,ENH00284,ENR00636
206,ENT00317,ENH00285,ENR00636
207,ENT00318,ENH00289,ENR00636
208,ENT00319,ENH00002,ENR01002
209,ENT00320,ENH00003,ENR01002
210,ENT00321,ENH00023,ENR01002
211,ENT00322,ENH00057,ENR01002
212,ENT00323,ENH00338,ENR00776
213,ENT00324,ENH00338,ENR00729
214,ENT00325,ENH00338,ENR00730
215,ENT00326,ENH00338,ENR00731
216,ENT00327,ENH00346,ENR00733
217,ENT00328,ENH00185,ENR00632
218,ENT00329,ENH00251,ENR00634
219,ENT00330,ENH00165,ENR00864
220,ENT00331,ENH00120,ENR00724
221,ENT00332,ENH00218,ENR00861
222,ENT00333,ENH00189,ENR00861
223,ENT00334,ENH00218,ENR00715
224,ENT00335,ENH00332,ENR00724
225,ENT00336,ENH00180,ENR00724
226,ENT00337,ENH00360,ENR01003
227,ENT00338,ENH00359,ENR01003
228,ENT00339,ENH00332,ENR00848
229,ENT00340,ENH00361,ENR01004
230,ENT00341,ENH00325,ENR00600
231,ENT00342,ENH00325,ENR00862
232,ENT00343,ENH00235,ENR00681
233,ENT00344,ENH00354,ENR01006
234,ENT00345,ENH00362,ENR00681
235,ENT00346,ENH00279,ENR00681
236,ENT00347,ENH00282,ENR00681
237,ENT00348,ENH00286,ENR00681
238,ENT00349,ENH00277,ENR00681
239,ENT00351,ENH00235,ENR00653
240,ENT00352,ENH00279,ENR00653
241,ENT00353,ENH00282,ENR00653
242,ENT00354,ENH00286,ENR00653
243,ENT00355,ENH00277,ENR00653
244,ENT00356,ENH00363,ENR00653
245,ENT00357,ENH00265,ENR00859
246,ENT00358,ENH00265,ENR00707
247,ENT00359,ENH00374,ENR00884
248,ENT00360,ENH00374,ENR00671
249,ENT00363,ENH00376,ENR00872
250,ENT00364,ENH00376,ENR00602
251,ENT00365,ENH00377,ENR00602
252,ENT00366,ENH00378,ENR00488
253,ENT00367,ENH00378,ENR00602
254,ENT00368,ENH00378,ENR00872
255,ENT00369,ENH00379,ENR00489
256,ENT00370,ENH00382,ENR00861
257,ENT00371,ENH00382,ENR00715
258,ENT00372,ENH00386,ENR00661
259,ENT00373,ENH00389,ENR00709
260,ENT00374,ENH00390,ENR00683
261,ENT00375,ENH00393,ENR00685
262,ENT00376,ENH00393,ENR00688
263,ENT00377,ENH00394,ENR00690
264,ENT00378,ENH00395,ENR00688
265,ENT00379,ENH00396,ENR00688
266,ENT00380,ENH00397,ENR00688
267,ENT00381,ENH00256,ENR00687
268,ENT00382,ENH00256,ENR00689
269,ENT00383,ENH00399,ENR00689
270,ENT00384,ENH00400,ENR00687
271,ENT00385,ENH00400,ENR00688
272,ENT00386,ENH00335,ENR00689
273,ENT00387,ENH00401,ENR00685
274,ENT00388,ENH00402,ENR00912
275,ENT00389,ENH00403,ENR00676
276,ENT00390,ENH00404,ENR00676
277,ENT00391,ENH00405,ENR00913
278,ENT00392,ENH00406,ENR00688
279,ENT00393,ENH00276,ENR00688
280,ENT00394,ENH00408,ENR00913
281,ENT00395,ENH00408,ENR00688
282,ENT00396,ENH00147,ENR00873
283,ENT00397,ENH00409,ENR00582
284,ENT00398,ENH00306,ENR00855
285,ENT00399,ENH00306,ENR00595
286,ENT00400,ENH00409,ENR00716
287,ENT00401,ENH00248,ENR00717
288,ENT00402,ENH00266,ENR00894
289,ENT00403,ENH00307,ENR00838
290,ENT00404,ENH00266,ENR00882
291,ENT00405,ENH00326,ENR00882
292,ENT00406,ENH00327,ENR00882
