,Endo_id,name,cytomer,sec_hormones,receptors,large_struct,substruct
366,ENC00535,dendritic cell in lymphoid tissues follicular,cy0011442,[],['ENR00277'],"['ENC00132', 'ENC00127', 'ENC00306', 'ENC00130', 'ENC00308', 'ENC00221', 'ENC00122', 'ENC00171', 'ENC00302', 'ENC00601', 'ENC00365', 'ENC00307', 'ENC00055', 'ENC00418', 'ENC00416', 'ENC00255']",[]
367,ENC00536,prolymphocyte,cy0014565,[],['ENR00274'],"['ENC00302', 'ENC00055', 'ENC00018']",[]
368,ENC00538,blood myeloid cell,cy0052335,[],"['ENR01203', 'ENR01086']","['ENC00302', 'ENC00055', 'ENC00014']",[]
369,ENC00539,dentate gyrus of hippocampus,cy0022579,['ENH00445'],"['ENR00068', 'ENR00817', 'ENR00818', 'ENR00929', 'ENR00987', 'ENR00005']","['ENC00020', 'ENC00027', 'ENC00050']","['ENC00280', 'ENC00284', 'ENC00423', 'ENC00472', 'ENC00549']"
370,ENC00540,pyramidal layer of hippocampus,cy0009024,"['ENH00975', 'ENH01089', 'ENH01089']","['ENR00068', 'ENR00827', 'ENR00831', 'ENR00795', 'ENR00822']","['ENC00020', 'ENC00027', 'ENC00050']","['ENC00280', 'ENC00284', 'ENC00423', 'ENC00472', 'ENC00549']"
371,ENC00542,preadipocyte,cy0044758,['ENH00231'],"['ENR00979', 'ENR00263', 'ENR00756']",[],[]
372,ENC00544,continuous vascular endothelial cell of blood vessels and lymphatics,cy0011246,[],['ENR00865'],"['ENC00302', 'ENC00601', 'ENC00207', 'ENC00074']",[]
373,ENC00545,suprachiasmatic nucleus of hypothalamus,cy0006456,[],"['ENR00768', 'ENR00068']","['ENC00020', 'ENC00361', 'ENC00027']","['ENC00280', 'ENC00284', 'ENC00423', 'ENC00472', 'ENC00549']"
374,ENC00547,mucosa of gallbladder,cy0000720,['ENH00657'],[],"['ENC00601', 'ENC00365', 'ENC00040']","['ENC00597', 'ENC00493', 'ENC00216', 'ENC00283']"
375,ENC00549,bergmann glia,cy0052320,['ENH00971'],"['ENR00786', 'ENR01221']","['ENC00386', 'ENC00163', 'ENC00280', 'ENC00020', 'ENC00552', 'ENC00550', 'ENC00053', 'ENC00189', 'ENC00357', 'ENC00050', 'ENC00154', 'ENC00599', 'ENC00487', 'ENC00284', 'ENC00182', 'ENC00545', 'ENC00585', 'ENC00181', 'ENC00183', 'ENC00220', 'ENC00257', 'ENC00413', 'ENC00262', 'ENC00556', 'ENC00403', 'ENC00557', 'ENC00134', 'ENC00027', 'ENC00408', 'ENC00026', 'ENC00191', 'ENC00553', 'ENC00540', 'ENC00302', 'ENC00574', 'ENC00271', 'ENC00601', 'ENC00361', 'ENC00582', 'ENC00411', 'ENC00088']",[]
376,ENC00550,epiphysis,cy0024759,[],"['ENR00816', 'ENR00922']","['ENC00020', 'ENC00027']","['ENC00280', 'ENC00284', 'ENC00423', 'ENC00472', 'ENC00549']"
377,ENC00552,peripheral nerve system element,cy0051806,[],['ENR00825'],[],"['ENC00280', 'ENC00284', 'ENC00423', 'ENC00472', 'ENC00425', 'ENC00281', 'ENC00468', 'ENC00216', 'ENC00283', 'ENC00419', 'ENC00549']"
378,ENC00553,reticular part of substantia nigra,cy0006116,['ENH00246'],['ENR00825'],"['ENC00020', 'ENC00302', 'ENC00183', 'ENC00134', 'ENC00027']","['ENC00280', 'ENC00284', 'ENC00423', 'ENC00472', 'ENC00549']"
379,ENC00555,compact part of substantia nigra,cy0020350,"['ENH00243', 'ENH00021']",['ENR01219'],"['ENC00020', 'ENC00302', 'ENC00183', 'ENC00134', 'ENC00027']","['ENC00280', 'ENC00284', 'ENC00423', 'ENC00472', 'ENC00549']"
380,ENC00556,corpus striatum,cy0020828,"['ENH00226', 'ENH00734', 'ENH01083', 'ENH00228', 'ENH00473', 'ENH00021']","['ENR00263', 'ENR00734', 'ENR00361', 'ENR00751', 'ENR00797', 'ENR00817', 'ENR00818']","['ENC00020', 'ENC00027']","['ENC00280', 'ENC00284', 'ENC00423', 'ENC00472', 'ENC00557', 'ENC00549']"
381,ENC00557,pallidum,cy0009091,[],['ENR00825'],"['ENC00020', 'ENC00556', 'ENC00027']","['ENC00280', 'ENC00284', 'ENC00423', 'ENC00472', 'ENC00549']"
382,ENC00559,locus caeruleus,cy0047469,['ENH00043'],[],"['ENC00020', 'ENC00302', 'ENC00027']","['ENC00280', 'ENC00284', 'ENC00423', 'ENC00472', 'ENC00549']"
383,ENC00560,gangliocyte,cy0052361,['ENH01077'],[],[],[]
384,ENC00563,dorsal root ganglion,cy0023703,[],"['ENR01237', 'ENR01238', 'ENR00613', 'ENR00612', 'ENR00897']",[],"['ENC00425', 'ENC00468', 'ENC00216', 'ENC00283', 'ENC00419']"
385,ENC00564,embryonic tissue,cy0014659,['ENH01085'],[],[],"['ENC00280', 'ENC00214', 'ENC00427', 'ENC00313', 'ENC00154', 'ENC00294', 'ENC00268', 'ENC00093', 'ENC00284', 'ENC00555', 'ENC00473', 'ENC00585', 'ENC00216', 'ENC00267', 'ENC00283', 'ENC00181', 'ENC00423', 'ENC00472', 'ENC00262', 'ENC00266', 'ENC00265', 'ENC00134', 'ENC00408', 'ENC00549', 'ENC00553', 'ENC00574', 'ENC00271', 'ENC00521', 'ENC00360', 'ENC00325']"
386,ENC00570,fetal kidney,cy0052359,['ENH01087'],['ENR01047'],[],[]
387,ENC00573,prosencephalon,cy0000505,"['ENH01089', 'ENH00474']",[],"['ENC00020', 'ENC00302', 'ENC00027']",[]
388,ENC00574,olfactory bulb,cy0000531,['ENH01089'],['ENR00263'],"['ENC00020', 'ENC00302', 'ENC00182', 'ENC00027']","['ENC00280', 'ENC00284', 'ENC00423', 'ENC00472', 'ENC00549']"
389,ENC00579,gonads,cy0030465,[],"['ENR00816', 'ENR01334']",[],"['ENC00597', 'ENC00067', 'ENC00043', 'ENC00097', 'ENC00140', 'ENC00504', 'ENC00143', 'ENC00167', 'ENC00044', 'ENC00493', 'ENC00031', 'ENC00473', 'ENC00216', 'ENC00283']"
390,ENC00580,empty0,empty0,[],[],[],[]
391,ENC00582,ventromedial nucleus of hypothalamus,cy0006472,[],"['ENR00965', 'ENR00768']","['ENC00020', 'ENC00361', 'ENC00027']","['ENC00280', 'ENC00284', 'ENC00423', 'ENC00472', 'ENC00549']"
392,ENC00583,bed nucleus of stria terminalis,cy0016242,[],['ENR00768'],"['ENC00020', 'ENC00182', 'ENC00027']","['ENC00280', 'ENC00284', 'ENC00423', 'ENC00472', 'ENC00549']"
393,ENC00584,chorion,cy0028199,[],['ENR00263'],[],"['ENC00137', 'ENC00521', 'ENC00473', 'ENC00066', 'ENC00283']"
394,ENC00585,posterior raphe nucleus of midbrain,cy0006189,['ENH00166'],['ENR00822'],"['ENC00020', 'ENC00302', 'ENC00183', 'ENC00027', 'ENC00154']","['ENC00280', 'ENC00284', 'ENC00423', 'ENC00472', 'ENC00549']"
395,ENC00587,right coronary artery,cy0000137,"['ENH00591', 'ENH00287', 'ENH00409']","['ENR00766', 'ENR01032']",[],[]
396,ENC00588,left coronary artery,cy0046477,"['ENH00591', 'ENH00287', 'ENH00409']","['ENR00766', 'ENR01032']",[],[]
397,ENC00593,stratum granulosum,cy0000425,['ENH00664'],[],"['ENC00213', 'ENC00125', 'ENC00055']",[]
398,ENC00596,adenohypophysis,cy0048858,[],['ENR00574'],[],[]
399,ENC00597,cell:plasma cell,cy0049289,[],['ENR00710'],"['ENC00234', 'ENC00306', 'ENC00218', 'ENC00040', 'ENC00326', 'ENC00014', 'ENC00074', 'ENC00302', 'ENC00601', 'ENC00365', 'ENC00055', 'ENC00207', 'ENC00578', 'ENC00414']",[]
