,Endo_id,receptor,cell,phenotype,activity
523,ENQ00556,ENR01237,ENC00078,ENP00574,normal receptor activity
524,ENQ00557,ENR01237,ENC00312,ENP00575,normal receptor activity
525,ENQ00558,ENR01007,ENC00137,ENP00577,normal receptor activity
526,ENQ00559,ENR01295,ENC00093,ENP00562,normal receptor activity
527,ENQ00560,ENR01295,ENC00093,ENP00563,less than normal receptor activity
528,ENQ00561,ENR01238,ENC00231,ENP00564,normal receptor activity
529,ENQ00562,ENR01238,ENC00244,ENP00565,normal receptor activity
530,ENQ00563,ENR01238,ENC00128,ENP00566,normal receptor activity
531,ENQ00564,ENR01007,ENC00249,ENP00577,normal receptor activity
532,ENQ00565,ENR01238,ENC00222,ENP00567,normal receptor activity
533,ENQ00566,ENR01005,ENC00013,ENP00577,normal receptor activity
534,ENQ00567,ENR01238,ENC00563,ENP00180,normal receptor activity
535,ENQ00568,ENR01005,ENC00035,ENP00577,normal receptor activity
536,ENQ00569,ENR00897,ENC00563,ENP00567,normal receptor activity
537,ENQ00570,ENR00701,ENC00276,ENP00583,normal receptor activity
538,ENQ00571,ENR00701,ENC00144,ENP00582,normal receptor activity
539,ENQ00572,ENR00612,ENC00563,ENP00060,normal receptor activity
540,ENQ00573,ENR00613,ENC00563,ENP00571,normal receptor activity
541,ENQ00574,ENR01237,ENC00563,ENP00009,normal receptor activity
542,ENQ00575,ENR00701,ENC00293,ENP00582,normal receptor activity
543,ENQ00576,ENR00701,ENC00130,ENP00583,normal receptor activity
544,ENQ00577,ENR00701,ENC00184,ENP00583,normal receptor activity
545,ENQ00578,ENR00701,ENC00115,ENP00102,normal receptor activity
546,ENQ00580,ENR01039,ENC00233,ENP00590,normal receptor activity
547,ENQ00581,ENR01036,ENC00306,ENP00586,normal receptor activity
548,ENQ00582,ENR01038,ENC00152,ENP00193,normal receptor activity
549,ENQ00583,ENR00796,ENC00578,ENP00600,normal receptor activity
550,ENQ00584,ENR01039,ENC00306,ENP00431,normal receptor activity
551,ENQ00585,ENR01039,ENC00130,ENP00431,normal receptor activity
552,ENQ00586,ENR01039,ENC00144,ENP00431,normal receptor activity
553,ENQ00587,ENR01038,ENC00150,ENP00037,normal receptor activity
554,ENQ00588,ENR01038,ENC00128,ENP00193,normal receptor activity
555,ENQ00589,ENR01038,ENC00048,ENP00193,normal receptor activity
556,ENQ00590,ENR01038,ENC00231,ENP00598,normal receptor activity
557,ENQ00592,ENR00795,ENC00578,ENP00600,normal receptor activity
558,ENQ00593,ENR00796,ENC00048,ENP00038,normal receptor activity
559,ENQ00594,ENR00796,ENC00063,ENP00603,normal receptor activity
560,ENQ00597,ENR00759,ENC00005,ENP00606,normal receptor activity
561,ENQ00598,ENR01018,ENC00122,ENP00607,normal receptor activity
562,ENQ00599,ENR01050,ENC00424,ENP00038,normal receptor activity
563,ENQ00600,ENR01018,ENC00231,ENP00608,normal receptor activity
564,ENQ00601,ENR01018,ENC00247,ENP00550,normal receptor activity
565,ENQ00602,ENR01018,ENC00013,ENP00610,normal receptor activity
566,ENQ00603,ENR01018,ENC00005,ENP00611,normal receptor activity
567,ENQ00604,ENR01018,ENC00004,ENP00611,normal receptor activity
568,ENQ00605,ENR00118,ENC00122,ENP00613,normal receptor activity
569,ENQ00608,ENR00118,ENC00005,ENP00455,normal receptor activity
570,ENQ00609,ENR00118,ENC00048,ENP00455,normal receptor activity
571,ENQ00610,ENR00435,ENC00004,ENP00455,normal receptor activity
572,ENQ00611,ENR00693,ENC00004,ENP00455,normal receptor activity
573,ENQ00612,ENR00693,ENC00048,ENP00455,normal receptor activity
574,ENQ00613,ENR00118,ENC00005,ENP00621,normal receptor activity
575,ENQ00614,ENR00435,ENC00005,ENP00621,normal receptor activity
576,ENQ00615,ENR00693,ENC00005,ENP00621,normal receptor activity
577,ENQ00616,ENR00807,ENC00005,ENP00624,normal receptor activity
578,ENQ00617,ENR00808,ENC00005,ENP00625,normal receptor activity
579,ENQ00618,ENR00228,ENC00005,ENP00624,normal receptor activity
580,ENQ00619,ENR00979,ENC00004,ENP00625,normal receptor activity
581,ENQ00620,ENR01188,ENC00004,ENP00628,normal receptor activity
582,ENQ00621,ENR01077,ENC00004,ENP00022,normal receptor activity
583,ENQ00622,ENR01077,ENC00424,ENP00631,normal receptor activity
584,ENQ00623,ENR01077,ENC00004,ENP00628,normal receptor activity
585,ENQ00624,ENR00777,ENC00424,ENP00634,normal receptor activity
586,ENQ00625,ENR00118,ENC00424,ENP00632,more than normal receptor activity
587,ENQ00626,ENR00852,ENC00424,ENP00634,normal receptor activity
588,ENQ00627,ENR01178,ENC00424,ENP00634,normal receptor activity
589,ENQ00628,ENR00785,ENC00424,ENP00637,normal receptor activity
590,ENQ00629,ENR00786,ENC00424,ENP00637,normal receptor activity
591,ENQ00630,ENR00843,ENC00424,ENP00369,normal receptor activity
592,ENQ00631,ENR00655,ENC00424,ENP00369,normal receptor activity
593,ENQ00632,ENR00841,ENC00424,ENP00369,more than normal receptor activity
594,ENQ00633,ENR00645,ENC00424,ENP00642,normal receptor activity
595,ENQ00634,ENR00930,ENC00424,ENP00643,normal receptor activity
596,ENQ00635,ENR00979,ENC00044,ENP00398,normal receptor activity
597,ENQ00636,ENR00979,ENC00143,ENP00398,normal receptor activity
598,ENQ00637,ENR00979,ENC00063,ENP00646,normal receptor activity
599,ENQ00638,ENR00979,ENC00287,ENP00647,normal receptor activity
600,ENQ00639,ENR01205,ENC00150,ENP00540,normal receptor activity
601,ENQ00640,ENR00979,ENC00048,ENP00649,normal receptor activity
602,ENQ00641,ENR00979,ENC00122,ENP00650,normal receptor activity
603,ENQ00642,ENR00837,ENC00424,ENP00037,normal receptor activity
604,ENQ00643,ENR00263,ENC00125,ENP00037,normal receptor activity
605,ENQ00644,ENR00263,ENC00249,ENP00037,normal receptor activity
606,ENQ00646,ENR00263,ENC00102,ENP00037,normal receptor activity
607,ENQ00647,ENR00118,ENC00122,ENP00210,normal receptor activity
608,ENQ00648,ENR00118,ENC00005,ENP00652,normal receptor activity
609,ENQ00649,ENR00780,ENC00184,ENP00059,normal receptor activity
610,ENQ00651,ENR00781,ENC00184,ENP00059,normal receptor activity
611,ENQ00652,ENR00780,ENC00060,ENP00059,normal receptor activity
612,ENQ00653,ENR00781,ENC00060,ENP00059,normal receptor activity
613,ENQ00654,ENR00757,ENC00152,ENP00088,normal receptor activity
614,ENQ00655,ENR01149,ENC00152,ENP00042,normal receptor activity
615,ENQ00656,ENR00669,ENC00468,ENP00561,normal receptor activity
616,ENQ00657,ENR00758,ENC00152,ENP00654,normal receptor activity
617,ENQ00658,ENR00795,ENC00013,ENP00072,normal receptor activity
618,ENQ00660,ENR01221,ENC00549,ENP00656,less than normal receptor activity
619,ENQ00661,ENR01224,ENC00265,ENP00657,normal receptor activity
620,ENQ00662,ENR00822,ENC00540,ENP00658,no receptor activity
621,ENQ00663,ENR00068,ENC00545,ENP00011,more than normal receptor activity
622,ENQ00664,ENR00822,ENC00050,ENP00659,normal receptor activity
623,ENQ00665,ENR00761,ENC00082,ENP00660,normal receptor activity
624,ENQ00666,ENR01190,ENC00231,ENP00013,normal receptor activity
625,ENQ00667,ENR00663,ENC00048,ENP00661,normal receptor activity
626,ENQ00668,ENR00825,ENC00312,ENP00662,normal receptor activity
627,ENQ00669,ENR00825,ENC00048,ENP00663,normal receptor activity
628,ENQ00670,ENR00699,ENC00250,ENP00664,normal receptor activity
629,ENQ00671,ENR00598,ENC00210,ENP00521,normal receptor activity
630,ENQ00672,ENR00598,ENC00125,ENP00665,less than normal receptor activity
631,ENQ00673,ENR01188,ENC00325,ENP00666,normal receptor activity
632,ENQ00674,ENR01188,ENC00284,ENP00294,normal receptor activity
633,ENQ00675,ENR01188,ENC00222,ENP00667,normal receptor activity
634,ENQ00676,ENR01188,ENC00004,ENP00668,normal receptor activity
635,ENQ00677,ENR01188,ENC00063,ENP00669,normal receptor activity
636,ENQ00678,ENR01188,ENC00096,ENP00551,more than normal receptor activity
