,Endo_id,receptor,cell,phenotype,activity
810,ENQ00854,ENR00853,ENC00283,ENP00764,unknown receptor activity
811,ENQ00855,ENR01152,ENC00600,ENP00765,unknown receptor activity
812,ENQ00856,ENR01152,ENC00600,ENP00016,unknown receptor activity
813,ENQ00857,ENR00675,ENC00228,ENP00242,unknown receptor activity
814,ENQ00858,ENR01086,ENC00504,ENP00766,unknown receptor activity
815,ENQ00859,ENR00958,ENC00365,ENP00059,unknown receptor activity
816,ENQ00860,ENR01340,ENC00233,ENP00767,unknown receptor activity
817,ENQ00861,ENR00644,ENC00150,ENP00012,normal receptor activity
818,ENQ00862,ENR00698,ENC00086,ENP00197,unknown receptor activity
819,ENQ00863,ENR00700,ENC00086,ENP00197,unknown receptor activity
820,ENQ00864,ENR01100,ENC00122,ENP00768,unknown receptor activity
821,ENQ00865,ENR01109,ENC00250,ENP00769,unknown receptor activity
822,ENQ00866,ENR01108,ENC00063,ENP00770,unknown receptor activity
823,ENQ00867,ENR01108,ENC00063,ENP00771,unknown receptor activity
824,ENQ00868,ENR01108,ENC00152,ENP00772,unknown receptor activity
825,ENQ00869,ENR01108,ENC00074,ENP00773,unknown receptor activity
826,ENQ00870,ENR01109,ENC00152,ENP00772,unknown receptor activity
827,ENQ00871,ENR00874,ENC00318,ENP00559,unknown receptor activity
828,ENQ00872,ENR00874,ENC00318,ENP00774,more than normal receptor activity
829,ENQ00873,ENR00678,ENC00342,ENP00775,unknown receptor activity
830,ENQ00874,ENR00678,ENC00600,ENP00228,unknown receptor activity
831,ENQ00875,ENR01341,ENC00360,ENP00759,unknown receptor activity
832,ENQ00876,ENR00712,ENC00473,ENP00683,unknown receptor activity
833,ENQ00877,ENR01343,ENC00027,ENP00776,unknown receptor activity
834,ENQ00878,ENR01003,ENC00005,ENP00777,unknown receptor activity
835,ENQ00879,ENR01346,ENC00217,ENP00778,unknown receptor activity
836,ENQ00880,ENR00698,ENC00020,ENP00779,unknown receptor activity
837,ENQ00881,ENR00669,ENC00128,ENP00780,unknown receptor activity
838,ENQ00882,ENR01216,ENC00247,ENP00113,unknown receptor activity
839,ENQ00883,ENR00737,ENC00469,ENP00781,unknown receptor activity
840,ENQ00884,ENR00749,ENC00465,ENP00528,unknown receptor activity
841,ENQ00885,ENR00727,ENC00465,ENP00528,unknown receptor activity
842,ENQ00886,ENR01022,ENC00222,ENP00318,unknown receptor activity
